hazard,path,rp,rcp,epoch,gcm,key
river,hazards/floodmaps/inunriver_rcp4p5_0000HadGEM2-ES_2080_rp01000.tif,1000,4.5,2080,HadGEM2ES,river__rp_1000__rcp_4x5__epoch_2080__gcm_HadGEM2ES
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00002.tif,2,4.5,2030,IPSLCM5ALR,river__rp_2__rcp_4x5__epoch_2030__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00005.tif,5,4.5,2030,IPSLCM5ALR,river__rp_5__rcp_4x5__epoch_2030__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00010.tif,10,4.5,2030,IPSLCM5ALR,river__rp_10__rcp_4x5__epoch_2030__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00025.tif,25,4.5,2030,IPSLCM5ALR,river__rp_25__rcp_4x5__epoch_2030__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00050.tif,50,4.5,2030,IPSLCM5ALR,river__rp_50__rcp_4x5__epoch_2030__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00100.tif,100,4.5,2030,IPSLCM5ALR,river__rp_100__rcp_4x5__epoch_2030__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00250.tif,250,4.5,2030,IPSLCM5ALR,river__rp_250__rcp_4x5__epoch_2030__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00500.tif,500,4.5,2030,IPSLCM5ALR,river__rp_500__rcp_4x5__epoch_2030__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp01000.tif,1000,4.5,2030,IPSLCM5ALR,river__rp_1000__rcp_4x5__epoch_2030__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00002.tif,2,4.5,2050,IPSLCM5ALR,river__rp_2__rcp_4x5__epoch_2050__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00005.tif,5,4.5,2050,IPSLCM5ALR,river__rp_5__rcp_4x5__epoch_2050__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00010.tif,10,4.5,2050,IPSLCM5ALR,river__rp_10__rcp_4x5__epoch_2050__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00025.tif,25,4.5,2050,IPSLCM5ALR,river__rp_25__rcp_4x5__epoch_2050__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00050.tif,50,4.5,2050,IPSLCM5ALR,river__rp_50__rcp_4x5__epoch_2050__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00100.tif,100,4.5,2050,IPSLCM5ALR,river__rp_100__rcp_4x5__epoch_2050__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00250.tif,250,4.5,2050,IPSLCM5ALR,river__rp_250__rcp_4x5__epoch_2050__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00500.tif,500,4.5,2050,IPSLCM5ALR,river__rp_500__rcp_4x5__epoch_2050__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp01000.tif,1000,4.5,2050,IPSLCM5ALR,river__rp_1000__rcp_4x5__epoch_2050__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2080_rp00002.tif,2,4.5,2080,IPSLCM5ALR,river__rp_2__rcp_4x5__epoch_2080__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2080_rp00005.tif,5,4.5,2080,IPSLCM5ALR,river__rp_5__rcp_4x5__epoch_2080__gcm_IPSLCM5ALR
river,hazards/floodmaps/inunriver_rcp4p5_00IPSL-CM5A-LR_2080_rp00010.tif,10,4.5,2080,IPSLCM5ALR,river__rp_10__rcp_4x5__epoch_2080__gcm_IPSLCM5ALR
